cks,city area,School,current school?,School address,Flasher location,Adjusted addresses,Date Checked,,,,"Does light work? (Answers are ""yes"" ""no"" ""partial""",,Low battery warning?,,Sign obstructed? By what? To whom?,,,,Is a flasher there?,Is there a speed limit camera?
Beatty,Uptown,New Orleans Charter Science and Math High School,yes,"5625 Loyola Ave, New Orleans LA",1700 Nashville Ave,1700 Nashville Ave.,,,,,yes,,,,,,,,yes,n
,,,,,2100 Nashville Ave,2100 Nashville Ave.,,,,1,no,also obscured,,,"yes, trees",,,,yes,n
Beatty,Uptown,ReNEW Accelerated High School,yes,3649 Laurel Street,800 Louisiana Ave,800 Louisiana Ave.,,,,1,No,,,,,,,,yes,n
,,,,,900 Louisiana Ave,900 Louisiana Ave.,,,,1,No,,,,,,,,yes,n
Beatty,Freret,Samuel Green Charter School,yes,2319 Valence St,2200 Valence St,2200 Valence St.,,,,1,no,,,,,,,,yes,n
,,,,,2400 Valence St,2400 Valence St.,,,,1,no,,,,,,,,yes,n
,,,,,4500 Freret St,4500 Freret St.,,,,,yes,,,,,,,,yes,y
,,,,,4700 Freret St,4700 Freret St.,,,,,yes,,,,,,,,yes,y
Beatty,Uptown,Drexel/Xavier Prep,yes,5116 Magazine St,5000 magazine,5000 Magazine St.,,,,1,no,,,,,,,,yes,n
,,,,,5200 magazine,5200 Magazine St.,,,,1,no,,,,,,,,yes,n
Beatty,Uptown,Academy of the Sacred Heart,yes,4521 St. Charles Ave,4400 St. Charles Ave,4400 St. Charles Ave.,,,,,"partial, low batt",,quick flash of both lights at same time,,,,,,yes,n
,,,,,4600 St. Charles Ave,4600 St. Charles Ave.,,,,,yes,,,,,,,,yes,n
Beatty,Uptown,St. Stephen Catholic Central School,yes,1027 Napoleon Ave,4100 Magazine,4100 Magazine St.,,,,1,no,,,,,,,,yes,n
,,,,,4300 Magazine,4300 Magazine St.,,,,,yes,,,,,,,,yes,n
,,,,,900 Napoleon,900 Napoleon Ave.,,,,1,no,"construction, but light is there",,,,,,,yes,n
,,,,,1100 Napoleon,1100 Napoleon Ave.,,,,1,no,sandwich board sign placed there.,,,,,,,yes,n
Beatty,Uptown,St. Francis of Assisi (Lycee),yes (Lycee),611 State Street,700 State St,700 State St.,,,,1,no,,,,,,,,yes,n
,,,,,500 State St,500 State St.,,,,1,no,,,,,,,,yes,n
Beatty,Carrollton,Carrollton Presbyterian (Stuart Hall),yes,2032 S. Carrollton ,1900 S Carrollton,1900 S. Carrollton Ave.,,,,,partial,top light seems to be going in proper rhythm,,,,,,,yes,no
,,,,,2100 S Carrollton,2100 S. Carrollton Ave.,,,,1,no,,,,,,,,yes,no
Bob,Garden District,ISL,yes,1400 Camp Street,1300 Magazine,1300 Magazine St.,,,,1,No,,,,,,,,yes,no
,,,,,1300 Camp/Coliseum,1345 Coliseum St.,,,,,Yes,,,,By light pole,,,,yes,yes
,,,,,Coliseum,1500 Camp St.,,,,1,No,,,,Totally by tree,,,,yes- doesn't work,no
Bob,Irish Channel,ReNEW SciTech Academy at Laurel Elementary,yes,820 Jackson Ave,1000 Jackson Ave,1000 Jackson Ave.,,,,1,No,,,,,,,,yes - doesn't work,yes
,,,,,700 Jackson Ave,700 Jackson Ave.,,,,,Yes,,,,,,,,yes,yes
Bob,Central City,Mahalia Jackson Elementary,yes (but at 2405 jackson),2101 Freret St,2500 Jackson St,2500 Jackson St.,,,,1,No,,,,,,,,yes - doesnt work,no
,,,,,2300 Jackson St,2300 Jackson St.,,,,,Yes,,,,,,,,yes,no
,,,,,1800 Simon Bolivar,1800 Simon Bolivar Ave.,,,,,"partial, one light",,,,Ttotally by tree,,,,yes,no
,,,,,2100 Simon Bolivar,2100 Simon Bolivar Ave.,,,,,"partial, one light",,,,Partial tree,,,,yes,no
Bob,Uptown,McGehee School,yes,2343 Prytania,2200 St. Charles Ave,2200 St. Charles Ave.,,,,1,No,,,,,,,, yes not working,no
,,,,,2200 Prytania,2200 Prytania St.,,,,,Yes,,,,,,,,Yes,yes
,,,,,2400 Prytania,2400 Prytania St.,,,,,Yes,,,,,,,,Yes,yes
Bob,Central City,KIPP Central City,yes,2514 Third Street,2400 Washington,2400 Washington Ave.,,,,,Yes,,,,,,,,Yes - not working,no
,,,,,2500 Washington,2500 Washington Ave.,,,,,Yes,,,,,,,,Yes-not working,no
Bob,Central City,Trinity Episcopal School,yes,1315 Jackson Ave,1200 Jackson Ave,1200 Jackson Ave.,,,,1,No,,,,,,,,Yes,yes
,,,,,1400 Jackson Ave,1400 Jackson Ave.,,,,1,No,,,,,,,,Yes,yes
